USITEID,YSITEID,SITECODE,REGION,lon,lat,MONTH,YEAR,SURVEY,ANNUAL,COUNTRY,REGION,DISTRICT,COMMUNITY,USWBTYPE,WBFLOW,HUMAN,RAMSAR,ENDEM_CASE,ENDEM_DIST,BU_2003,BU_2004,BU_2005,BU_2006,BU_2007,BU_TOTAL,Soil Type,FTemp,FSPECCOND,LELECTCOND,FDO,FPH,LPH,ORP,FTURB,LTURB,CHLORO,COLORAP,SUSSOLIDS,DISSOLIDS,NA,K,CA,MG,FE,CL,SO4,PO4P,MN,NO2N,NO3N,TOTHARD,TOTALK,CALHARD,MAGHARD,HCO3,AS,NH4,F,NF.ER.(N),NF.ER.NoPos(N),NF.ER.Positivity,NF.NoforVNTR,NF.VNTR.MU(N),NF.VNTR.MU.NoPos(N),NF.VNTR.Positivity(MU),NF.Total.MU.Positivity,NF.VNTR.MPM(N),NF.VNTR.NoPos.MPM(N),NF.VNTR.Positivity(MPM),NF.Total.MPM.Positivity,FF.ER(N),FF.ER.NoPos(N),FF.ER.Positivity,FF.NoforVNTR,FF.VNTR.MU(N),FF.VNTR.MU.NoPos(N),FF.VNTR.Positivity(MU),FF.Total.MU.Positivity,FF.VNTR.MPM(N),FFVNTR.NoPos.MPM(N),FF.VNTR.Positivity(MPM),FF.Total.MPM.Positivity,Plant.A,Plant.B,Plant.C,A.ER,B.ER,C.ER,ER(N),Plant.ER.NoPos(N),Plant.ER.Positivity,MU.A.VNTR,MU.B.VNTR,MU.C.VNTR,Plant.MU.VNTR(N),Plant.MU.VNTR.NoPos(N),Plant.MU.VNTR.Positivity,Plant.Total.MU.Positivity,MPM.A.VNTR,MPM.B.VNTR,MPM.C.VNTR,MPM.VNTR.(N),Plant.MPM.VNTR.NoPos(N),Plant.MPM.VNTR.Positivity,Plant.Total.MPM.Positivity,Avg.MU.Total.VNTR.Positivity,Total.MU.Present.(VNTR),Avg.MPM.Total.VNTR.Positivity,Total.MPM.Present.(VNTR),Avg.Filter.VNTR.MU,Avg.Filter.VNTR.MPM,Filter.MU.Present.(VNTR),Plant.MU.Present.(VNTR),Filter.MPM.Present.(VNTR),Plant.MPM.Present.(VNTR),Total.ER.Present,Total.ER.NoPos(N),Avg.Total.ER.Positivity
S.5.1,1,DAW-ADU-N-0805-1,Accra,-0.06449,5.90346,8,2005,Survey,Annual,Ghana,Accra,Dangme West,Adumanya,pond,lentic,human,2,N,N,0,0,0,0,0,0,Chromic Vertisols,26.9,634.0,634,93.2,6.9,7.1,117.0,249.90,88.70,31.4,100,150,349,50,18,44.9,13.6,0.2,60.5,3.6,0.000,0.151,0.575,0.004,168.0,236.0,112.0,55.8,288.0,1.21,NA,NA,8,0,0.00,8,0,0,NA,0.00,0,0,NA,0.00,5,3,0.60,5,3,0,0.00,0.00,3,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.5.4,4,DAW-AFI-N-0805-4,Accra,-0.00954,5.7972,8,2005,Survey,Annual,Ghana,Accra,Dangme West,Afienya,river,lotic,nature,M,N,N,0,0,0,0,0,0,Ferric Acrisols,25.8,143.3,222,35.0,7.0,6.7,84.8,13.16,178.00,12.6,180,229,122,29,2,7.2,1.0,6.0,17.9,35.3,0.018,0.030,0.121,0.477,22.0,24.0,18.0,4.0,29.3,15.90,NA,NA,8,5,0.63,7,4,0,0.00,0.00,4,2,0.50,0.29,5,5,1.00,5,5,0,0.00,0.00,5,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,1,0.00,0.14,0,NA,1,NA,1,#VALUE!,#VALUE!
S.5.5,5,DAW-ABB-N-0805-5,Accra,-0.03986,5.78635,8,2005,Survey,Annual,Ghana,Accra,Dangme West,Abbeypanya,lake/reservoir,lentic,human,6,N,N,0,0,0,0,0,0,Ferric Acrisols,26.8,163.4,185,87.4,7.4,6.7,119.0,12.48,19.10,12.9,40,82,102,7,3,8.0,4.9,0.6,5.0,5.5,0.000,0.075,0.011,0.055,40.0,46.0,20.0,20.0,56.1,0.04,NA,NA,8,4,0.50,6,3,0,0.00,0.00,3,0,0.00,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.5.8,9,GAW-AFU-E-0805-9,Accra,-0.35761,5.63174,8,2005,Survey,Annual,Ghana,Accra,Ga West,Afuaman,river,lotic,nature,TP,E,E,5,7,4,1,0,17,Ferric Acrisols,25.5,533.1,553,2.2,7.1,7.1,60.9,0.11,5.48,13.0,5,10,304,45,4,28.1,12.1,0.1,64.5,12.5,0.000,0.061,0.030,0.116,120.0,120.0,70.1,49.9,146.0,0.02,NA,NA,8,1,0.13,5,2,0,0.00,0.00,2,0,0.00,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.5.9,10,GAW-WEI-E-0805-10,Accra,-0.38503,5.54826,8,2005,Survey,Annual,Ghana,Accra,Ga West,Weija,lake/reservoir,lentic,human,6,E,E,0,0,0,0,1,1,Chromic Vertisols,26.0,354.8,409,101.5,8.5,7.5,41.1,7.18,10.80,20.6,15,15,225,49,5,17.6,13.1,0.0,78.4,8.6,0.000,0.021,0.246,0.027,98.0,108.0,44.0,54.0,132.0,0.41,NA,NA,8,2,0.25,7,1,0,0.00,0.00,1,0,0.00,0.00,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.6.23,23,GAW-KOT-E-0706-23,Accra,-0.35399,5.74113,7,2006,Survey,Annual,Ghana,Accra,Ga West,Kotoku,pond,lentic,human,2,E,E,2,0,3,1,5,11,Orthic Acrisols,27.0,266.2,250,5.7,6.7,6.3,51.5,10.3,33.7,13.6,70,57,138,NA,NA,11.2,3.9,4.1,35.7,1.2,0.159,1.350,0.001,0.287,44.0,70.0,28.1,15.9,85.4,0.004,0.629,0.231,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Pistia,Grasses,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,1,1,3,2,0.67,0.67,0.00,0,0.22,1,0.00,0.00,0,0,0,1,1,3,0.33
S.6.26,26,GAW-SAR-E-0706-26,Accra,-0.31503,5.72143,7,2006,Survey,N,Ghana,Accra,Ga West,Sarpeiman,pond,lentic,nature,TP,E,E,2,1,2,0,0,5,Orthic Acrisols,27.1,138.4,141,21.9,6.8,6.4,84.2,12.8,12.2,8.0,30,16,77.6,NA,NA,8.8,1.9,1.2,149.0,8.5,0.083,0.553,0.010,0.431,30.0,46.0,22.0,8.0,56.1,0.005,0.456,0.304,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Nymphaea,Detritus,1,0,1,3,2,0.67,0,NA,0,2,0,0.00,0.00,0,NA,0,2,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,2,0.22
S.6.30,30,GAE-ADI-E-0706-30,Accra,-0.08992,5.79435,7,2006,Survey,Annual,Ghana,Accra,Ga East,Adigon,pond,lentic,human,6,N,N,0,0,0,0,0,0,Ferric Acrisols,32.0,67.0,67.7,94.7,7.5,6.5,135.3,49.0,64,4.5,90,35,37.2,NA,NA,4.8,1.9,0.4,1.0,0.5,0.133,0.155,0.008,1.060,20.0,1.0,12.0,8.0,1.2,0.004,0.462,0.005,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Unknown S,Detritus,0,0,1,3,1,0.33,NA,NA,0,1,0,0.00,0.00,NA,NA,0,1,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,1,0.11
S.7.1,1,GAE-OTI-N-0807-1,Accra,-0.14367,5.78896,8,2007,Survey,N,Ghana,Accra,Ga East,Otinibi,wetland,lentic,human,6,N,N,0,0,0,0,NA,0,Chromic Vertisols,26.5,201.7,197.0,27.9,6.8,6.8,71.5,13.5,3.49,36.337,5,36,108,23.8,14.5,12.8,2.4,0.102,21.8,12.3,0.445,0.004,0.047,1.09,42,68,32.1,9.9,83,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Typha,Pistia,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.7.2,2,GAE-DAN-N-0807-2,Accra,-0.16362,5.78762,8,2007,Survey,N,Ghana,Accra,Ga East,Danfa,pond,lentic,human,6,N,N,0,0,0,0,NA,0,Chromic Vertisols,28.0,196.0,1.4,134.8,8.7,7.0,126.1,28.3,16.8,47.916,5,41,78.7,13.6,13.5,15.2,6.3,0.217,11.9,15.1,0.429,0.075,0.02,0.345,64,86,38.1,25.9,105,NA,0.0005,0.0025,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Brachiaria,Paspallum,Polyganum,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,1,0.07
