USITEID	lon	lat
S.5.1	-0.06449	5.90346
S.5.2	-0.00488	5.90737
S.5.3	-0.04369	5.84639
S.5.4	-0.00954	5.7972
S.5.5	-0.03986	5.78635
S.5.6	-0.3175	5.90659
S.5.7	-0.34209	5.85621
S.5.8	-0.35761	5.63174
S.5.9	-0.38503	5.54826
S.5.10	-1.99414	6.25192
S.5.11	-1.99909	6.23316
S.5.12	-1.99715	6.229
S.5.13	-1.91547	6.24568
S.5.14	-1.91015	6.20813
S.5.15	-1.9257	6.17479
S.5.16	-1.70317	5.9237
S.5.17	-1.70483	5.92645
S.5.18	-2.03272	6.13711
S.6.1	0.41121	7.33861
S.6.2	0.33763	7.23443
S.6.3	0.35664	7.47529
S.6.4	0.37441	7.52131
S.6.5	0.5278	7.68075
S.6.6	0.43798	7.53529
S.6.7	0.54758	7.20189
S.6.8	0.56009	7.19891
S.6.9	0.29705	6.89704
S.6.10	0.31125	6.90363
S.6.11	0.31931	7.02687
S.6.12	0.4003	7.1149
S.6.13	0.41836	6.47864
S.6.14	0.49859	6.44893
S.6.15	0.50163	6.3935
S.6.16	0.52505	6.35666
S.6.17	0.63203	6.52854
S.6.18	0.56437	6.58938
S.6.19	0.34758	6.48063
S.6.20	0.30215	6.39933
S.6.21	-0.32136	5.94169
S.6.22	-0.31027	6.08105
S.6.23	-0.35399	5.74113
S.6.24	-0.3097	5.63795
S.6.25	-0.30907	5.86653
S.6.26	-0.31503	5.72143
S.6.27	-0.34194	5.75034
S.6.28	-0.33066	5.73627
S.6.29	-0.17533	5.74378
S.6.30	-0.08992	5.79435
S.6.31	-2.17884	6.54168
S.6.32	-2.27267	6.54619
S.6.33	-2.24979	6.52425
S.6.34	-2.33293	6.62637
S.6.35	-2.19869	6.59772
S.6.36	-2.09273	6.66873
S.6.37	-1.9355	6.5444
S.6.38	-1.86081	6.59742
S.6.39	-1.63127	6.50686
S.6.40	-1.64132	6.47629
S.6.41	-1.40962	6.16573
S.6.42	-1.2595	6.1553
S.6.43	-2.01478	6.12844
S.6.44	-1.90626	6.46616
S.6.45	-1.88503	6.28616
S.6.46	-1.85421	6.29638
S.6.47	-1.81314	6.41322
S.6.48	-2.04328	6.2011
S.6.49	-2.04439	6.20679
S.6.50	-1.53734	6.73669
S.6.51	-0.29866	5.70842
S.7.1	-0.14367	5.78896
S.7.2	-0.16362	5.78762
S.7.3	-0.18136	5.75119
S.7.4	-0.28561	5.708
S.7.5	-0.32065	5.65488
S.7.6	-0.36466	5.66613
S.7.7	-0.3018	5.69016
S.7.8	-0.36531	5.71583
S.7.9	-0.15261	5.79539
S.7.10	0.47895	6.13521
S.7.11	0.29076	6.08409
S.7.12	0.56673	7.80563
S.7.13	0.44071	7.6551
S.7.14	0.36691	7.73876
S.7.15	0.48898	7.35552
S.7.16	0.50963	7.75737
S.7.17	0.37607	7.00388
S.7.18	0.32118	7.08944
S.7.19	0.279	6.8698
S.7.20	-1.87409	6.71566
S.7.21	-1.92522	6.73738
S.7.22	-2.08811	6.63783
S.7.23	-2.0295	6.54083
S.7.24	-1.75102	6.94899
S.7.25	-1.76859	6.90613
S.7.26	-1.02683	6.94313
S.7.27	-1.01325	6.91456
S.7.28	-1.07714	6.79781
S.7.29	-1.17576	6.66068
